;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 100000;Template length: 1400;26522;16993;16972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 700;1771;1704;1784
Array type: binary;Length: 100000;Template length: 1500;26582;17181;16868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 800;1782;1694;1813
Array type: binary;Length: 100000;Template length: 1600;26523;17684;16269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 900;1788;1722;1849
Array type: binary;Length: 100000;Template length: 1700;26687;17672;16850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1000;1762;1832;1965
Array type: binary;Length: 100000;Template length: 1800;26813;17567;17383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1100;1757;1726;1878
Array type: binary;Length: 100000;Template length: 1900;26751;17173;17528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1200;1751;1748;1917
Array type: binary;Length: 100000;Template length: 2000;26738;18182;18082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1300;1759;1790;1935
Array type: binary;Length: 100000;Template length: 2100;26499;18497;17098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1400;1741;1803;1978
Array type: binary;Length: 100000;Template length: 2200;26622;17597;17402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1500;1738;1790;1995
Array type: binary;Length: 100000;Template length: 2300;26906;17527;17611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1600;1749;1821;2029
Array type: binary;Length: 100000;Template length: 2400;26714;17355;16792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1700;1721;1823;2059
Array type: binary;Length: 100000;Template length: 2500;26446;17251;17092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1800;1725;1839;2063
Array type: binary;Length: 100000;Template length: 2600;27194;23639;23823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1900;1701;1850;2100
Array type: binary;Length: 100000;Template length: 2700;26506;16660;17057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2000;1717;1864;2139
Array type: binary;Length: 100000;Template length: 2800;26524;17198;17231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2100;1693;1872;2141
Array type: binary;Length: 100000;Template length: 2900;26493;17882;17396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2200;1691;1884;2181
Array type: binary;Length: 100000;Template length: 3000;26698;17864;17588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2300;1688;1904;2163
Array type: Four-symbol;Length: 10000;Template length: 100;1837;1604;1613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2400;1682;1918;2231
Array type: Four-symbol;Length: 10000;Template length: 200;1829;1769;1776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2500;1665;1930;2267
Array type: Four-symbol;Length: 10000;Template length: 300;1812;1648;1684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2600;1665;1947;2292
Array type: Four-symbol;Length: 10000;Template length: 400;1821;1653;1726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2700;1649;1950;2304
Array type: Four-symbol;Length: 10000;Template length: 500;1867;1710;1758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2800;1644;1960;2335
Array type: Four-symbol;Length: 10000;Template length: 600;1804;1674;1754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2900;1648;1974;2385
Array type: Four-symbol;Length: 10000;Template length: 700;1771;1704;1784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 3000;1637;1990;2396
Array type: Four-symbol;Length: 10000;Template length: 800;1782;1694;1813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 10000;Template length: 900;1788;1722;1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями
Array type: Four-symbol;Length: 10000;Template length: 1000;1762;1832;1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 100;18074;15714;15723
Array type: Four-symbol;Length: 10000;Template length: 1100;1757;1726;1878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 200;18082;15733;15734
Array type: Four-symbol;Length: 10000;Template length: 1200;1751;1748;1917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 300;18071;15778;15798
Array type: Four-symbol;Length: 10000;Template length: 1300;1759;1790;1935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 400;18075;15853;15787
Array type: Four-symbol;Length: 10000;Template length: 1400;1741;1803;1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 500;18114;15858;15773
Array type: Four-symbol;Length: 10000;Template length: 1500;1738;1790;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 600;18050;15804;15820
Array type: Four-symbol;Length: 10000;Template length: 1600;1749;1821;2029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 700;18030;15813;15882
Array type: Four-symbol;Length: 10000;Template length: 1700;1721;1823;2059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 800;18107;15811;15995
Array type: Four-symbol;Length: 10000;Template length: 1800;1725;1839;2063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 900;18255;16051;16118
Array type: Four-symbol;Length: 10000;Template length: 1900;1701;1850;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1000;18635;16527;16599
Array type: Four-symbol;Length: 10000;Template length: 2000;1717;1864;2139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1100;19313;16978;16712
Array type: Four-symbol;Length: 10000;Template length: 2100;1693;1872;2141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1200;18340;16178;16354
Array type: Four-symbol;Length: 10000;Template length: 2200;1691;1884;2181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1300;18182;16103;16244
Array type: Four-symbol;Length: 10000;Template length: 2300;1688;1904;2163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1400;18095;16028;16149
Array type: Four-symbol;Length: 10000;Template length: 2400;1682;1918;2231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1500;18066;16038;16195
Array type: Four-symbol;Length: 10000;Template length: 2500;1665;1930;2267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1600;18209;16288;15782
Array type: Four-symbol;Length: 10000;Template length: 2600;1665;1947;2292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1700;18361;16374;15710
Array type: Four-symbol;Length: 10000;Template length: 2700;1649;1950;2304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1800;18111;16106;16182
Array type: Four-symbol;Length: 10000;Template length: 2800;1644;1960;2335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1900;18056;16031;16293
Array type: Four-symbol;Length: 10000;Template length: 2900;1648;1974;2385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2000;17994;16100;16293
Array type: Four-symbol;Length: 10000;Template length: 3000;1637;1990;2396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2100;17976;16051;16309
Array type: Four-symbol;Length: 100000;Template length: 100;18074;15714;15723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2200;17961;16011;16315
Array type: Four-symbol;Length: 100000;Template length: 200;18082;15733;15734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2300;17953;16051;16336
Array type: Four-symbol;Length: 100000;Template length: 300;18071;15778;15798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2400;17947;16026;16329
Array type: Four-symbol;Length: 100000;Template length: 400;18075;15853;15787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2500;18332;16371;16763
Array type: Four-symbol;Length: 100000;Template length: 500;18114;15858;15773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2600;18374;16462;16768
Array type: Four-symbol;Length: 100000;Template length: 600;18050;15804;15820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2700;18126;16219;16572
Array type: Four-symbol;Length: 100000;Template length: 700;18030;15813;15882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2800;17997;16158;16571
Array type: Four-symbol;Length: 100000;Template length: 800;18107;15811;15995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2900;18054;16279;16645
Array type: Four-symbol;Length: 100000;Template length: 900;18255;16051;16118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 3000;18100;16305;16650
Array type: Four-symbol;Length: 100000;Template length: 1000;18635;16527;16599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1100;19313;16978;16712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1200;18340;16178;16354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1300;18182;16103;16244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1400;18095;16028;16149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1500;18066;16038;16195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1600;18209;16288;15782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1700;18361;16374;15710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1800;18111;16106;16182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1900;18056;16031;16293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2000;17994;16100;16293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2100;17976;16051;16309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2200;17961;16011;16315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2300;17953;16051;16336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2400;17947;16026;16329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2500;18332;16371;16763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2600;18374;16462;16768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2700;18126;16219;16572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2800;17997;16158;16571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2900;18054;16279;16645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 3000;18100;16305;16650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
