;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 10000;Template length: 600;1822;1662;1726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2900;1670;1993;2409
Array type: Four-symbol;Length: 10000;Template length: 700;1804;1680;1785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 3000;1667;1999;2415
Array type: Four-symbol;Length: 10000;Template length: 800;1823;1706;1821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 10000;Template length: 900;1797;1704;1834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 10000;Template length: 1000;1786;1723;1817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями
Array type: Four-symbol;Length: 10000;Template length: 1100;1788;1741;1896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 100;19781;26301;15973
Array type: Four-symbol;Length: 10000;Template length: 1200;1775;1736;1922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 200;19825;28145;16965
Array type: Four-symbol;Length: 10000;Template length: 1300;1761;1761;1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 300;18503;15913;15973
Array type: Four-symbol;Length: 10000;Template length: 1400;1771;1776;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 400;19429;25519;18718
Array type: Four-symbol;Length: 10000;Template length: 1500;1784;1824;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 500;19417;28642;20879
Array type: Four-symbol;Length: 10000;Template length: 1600;1778;1827;2034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 600;18399;15920;15813
Array type: Four-symbol;Length: 10000;Template length: 1700;1758;1828;2070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 700;18342;16221;15942
Array type: Four-symbol;Length: 10000;Template length: 1800;1760;1849;2107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 800;18691;16120;16257
Array type: Four-symbol;Length: 10000;Template length: 1900;1751;1867;2124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 900;18454;15938;16077
Array type: Four-symbol;Length: 10000;Template length: 2000;1729;1865;2144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1000;18479;16000;16095
Array type: Four-symbol;Length: 10000;Template length: 2100;1740;1898;2190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1100;18483;15989;16156
Array type: Four-symbol;Length: 10000;Template length: 2200;1735;1913;2232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1200;18503;15953;16108
Array type: Four-symbol;Length: 10000;Template length: 2300;1734;1924;2241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1300;18489;15994;16212
Array type: Four-symbol;Length: 10000;Template length: 2400;1702;1930;2254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1400;18471;16027;16244
Array type: Four-symbol;Length: 10000;Template length: 2500;1706;1955;2283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1500;18359;15981;16193
Array type: Four-symbol;Length: 10000;Template length: 2600;1861;2096;2518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1600;18342;16058;16234
Array type: Four-symbol;Length: 10000;Template length: 2700;1673;1963;2338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1700;18453;16105;16376
Array type: Four-symbol;Length: 10000;Template length: 2800;1680;1980;2356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1800;18799;16258;16670
Array type: Four-symbol;Length: 10000;Template length: 2900;1670;1993;2409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1900;18643;16286;16618
Array type: Four-symbol;Length: 10000;Template length: 3000;1667;1999;2415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2000;18613;16296;16645
Array type: Four-symbol;Length: 100000;Template length: 100;19781;26301;15973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2100;18492;16258;16570
Array type: Four-symbol;Length: 100000;Template length: 200;19825;28145;16965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2200;18257;16089;16363
Array type: Four-symbol;Length: 100000;Template length: 300;18503;15913;15973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2300;18307;16110;16412
Array type: Four-symbol;Length: 100000;Template length: 400;19429;25519;18718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2400;18267;16061;16417
Array type: Four-symbol;Length: 100000;Template length: 500;19417;28642;20879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2500;18304;16150;16528
Array type: Four-symbol;Length: 100000;Template length: 600;18399;15920;15813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2600;18368;16234;16581
Array type: Four-symbol;Length: 100000;Template length: 700;18342;16221;15942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2700;18246;16164;16544
Array type: Four-symbol;Length: 100000;Template length: 800;18691;16120;16257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2800;18336;16205;16590
Array type: Four-symbol;Length: 100000;Template length: 900;18454;15938;16077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2900;18224;16165;16575
Array type: Four-symbol;Length: 100000;Template length: 1000;18479;16000;16095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 3000;18384;16193;16611
Array type: Four-symbol;Length: 100000;Template length: 1100;18483;15989;16156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1200;18503;15953;16108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1300;18489;15994;16212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1400;18471;16027;16244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1500;18359;15981;16193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1600;18342;16058;16234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1700;18453;16105;16376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1800;18799;16258;16670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 1900;18643;16286;16618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2000;18613;16296;16645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2100;18492;16258;16570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2200;18257;16089;16363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2300;18307;16110;16412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2400;18267;16061;16417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2500;18304;16150;16528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2600;18368;16234;16581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2700;18246;16164;16544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2800;18336;16205;16590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 2900;18224;16165;16575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: Four-symbol;Length: 100000;Template length: 3000;18384;16193;16611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
